date,quarter,department,day,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,productivity
0,0,1,1,8,0.7191368337605292,1.0145521433347027,7080,98,-0.0574726915986328,0,0,1.0992287974946935,1.1789944887241703,2
0,0,0,1,1,0.20815096767282038,-1.0167776647819042,960,0,-0.0574726915986328,0,0,-1.1992682191402972,0.8680956374918167,2
0,0,1,1,11,0.7191368337605292,-0.33387785980300894,3660,50,-0.0574726915986328,0,0,-0.18522541768368367,0.375422950890763,2
0,0,1,1,12,0.7191368337605292,-0.33387785980300894,3660,50,-0.0574726915986328,0,0,-0.18522541768368367,0.375422950890763,2
0,0,1,1,6,0.7191368337605292,0.9907832076861733,1920,50,-0.0574726915986328,0,0,0.9640230906338116,0.37434192003331573,2
0,0,1,1,7,0.7191368337605292,0.9907832076861733,6720,38,-0.0574726915986328,0,0,0.9640230906338116,0.37286874401110387,2
0,0,0,1,2,0.20815096767282038,-1.0167776647819042,960,0,-0.0574726915986328,0,0,-1.1992682191402972,0.1151023117371657,1
0,0,1,1,3,0.20815096767282038,1.1900765912007638,6900,45,-0.0574726915986328,0,0,1.0316259440642526,0.1065985191940136,1
0,0,1,1,2,0.20815096767282038,0.43952673860682434,6000,34,-0.0574726915986328,0,0,0.9189545216801843,0.10323902035112667,1
0,0,1,1,1,0.20815096767282038,1.1900765912007638,6900,45,-0.0574726915986328,0,0,1.0316259440642526,0.08793239559095341,1
0,0,1,1,9,-0.30283489841488836,1.1900765912007638,6900,44,-0.0574726915986328,0,0,1.0316259440642526,-0.08006272257003354,1
0,0,1,1,10,0.20815096767282038,0.38833210797922285,6480,45,-0.0574726915986328,0,0,0.8738859527265571,-0.1312149162352822,1
0,0,1,1,5,0.7191368337605292,-0.33387785980300894,3660,50,-0.0574726915986328,0,0,-0.18522541768368367,-0.16079577176923546,1
0,0,0,1,10,-0.813820764502596,-1.0167776647819042,960,0,-0.0574726915986328,0,0,-1.1992682191402972,-0.16727018613751013,1
0,0,0,1,8,0.20815096767282038,-1.1118534073760207,960,0,-0.0574726915986328,0,0,-1.1992682191402972,-0.33497364934226675,1
0,0,0,1,4,0.20815096767282038,-1.0167776647819042,2160,0,-0.0574726915986328,0,0,-0.7485825296040245,-0.8143539186447392,0
0,0,0,1,7,0.7191368337605292,-1.1118534073760207,960,0,-0.0574726915986328,0,0,-1.1992682191402972,-1.1143647443643727,0
0,0,1,1,4,-0.813820764502596,0.7887472546736758,7200,0,-0.0574726915986328,0,0,1.1442973664483207,-1.226448949788925,0
0,0,0,1,11,-0.30283489841488836,-0.9975796782965537,1440,0,-0.0574726915986328,0,0,-1.0189939433257882,-1.7129530328702665,0
1,0,0,42,4,0.7191368337605292,-0.9975796782965537,6600,0,-0.0574726915986328,0,0,-0.65844539169677,1.4501825530984076,2
1,0,0,42,11,0.20815096767282038,-1.1118534073760207,5640,0,-0.0574726915986328,0,0,-0.7936510985576517,1.4493554682851408,2
1,0,0,42,9,0.7191368337605292,-0.9975796782965537,960,0,-0.0574726915986328,0,0,-1.1992682191402972,1.2681233409031234,2
1,0,0,42,3,0.20815096767282038,-1.0167776647819042,1560,0,-0.0574726915986328,0,0,-1.1992682191402972,1.2050951906569574,2
1,0,0,42,1,0.7191368337605292,-1.0167776647819042,960,0,-0.0574726915986328,0,0,-1.1992682191402972,0.9622198053611932,2
1,0,1,42,1,0.7191368337605292,1.1900765912007638,6300,50,-0.0574726915986328,0,0,0.9865573751106252,0.376310615355046,2
1,0,1,42,3,0.7191368337605292,1.1900765912007638,6540,50,-0.0574726915986328,0,0,0.8964202372033707,0.37400360051342485,2
1,0,1,42,8,0.7191368337605292,1.0145521433347027,7080,50,-0.0574726915986328,0,0,1.0992287974946935,0.3739789925385855,2
1,0,1,42,12,0.7191368337605292,1.0145521433347027,7080,63,-0.0574726915986328,0,0,1.0992287974946935,0.3739789925385855,2
1,0,1,42,11,0.7191368337605292,-0.31559406315029426,7080,50,-0.0574726915986328,0,0,-0.23029398663731093,0.3735125418393544,2
1,0,1,42,5,0.7191368337605292,-0.31559406315029426,7080,50,-0.0574726915986328,0,0,-0.1401568487300564,0.3730043344111497,2
1,0,1,42,6,0.7191368337605292,0.9907832076861733,6720,50,-0.0574726915986328,0,0,0.9640230906338116,0.37286874401110387,2
1,0,1,42,7,0.7191368337605292,0.9907832076861733,6720,38,-0.0574726915986328,0,0,0.9640230906338116,0.37286874401110387,2
1,0,1,42,10,0.20815096767282038,0.38833210797922285,6480,56,-0.0574726915986328,0,0,0.8738859527265571,0.29933545389243255,1
1,0,0,42,2,0.7191368337605292,-0.9975796782965537,960,0,-0.0574726915986328,0,0,-1.1992682191402972,0.2715180418416024,1
1,0,1,42,2,0.20815096767282038,0.43952673860682434,6600,45,-0.0574726915986328,0,0,0.9189545216801843,0.086872876644411,1
1,0,0,42,10,-0.30283489841488836,-0.9975796782965537,960,0,-0.0574726915986328,0,0,-1.1992682191402972,-0.1908012295382173,1
1,0,1,42,4,-0.30283489841488836,0.7887472546736758,13800,0,-0.0574726915986328,0,0,1.1442973664483207,-0.20042461040172432,1
1,0,1,42,9,-0.30283489841488836,1.1900765912007638,6900,40,-0.0574726915986328,0,0,1.0316259440642526,-0.20139253745682445,1
1,0,0,42,8,0.7191368337605292,-1.1118534073760207,960,0,-0.0574726915986328,0,0,-1.1992682191402972,-0.6120904869502061,1
